District,Soil_Type,Rainfall_mm,Crop,Season,Area_ha,Production_tonnes,Yield_tpha,Year
West Godavari,Clay Soil,841,Sugarcane,Annual,23375,1940826,83.03,2020
Prakasam,Red Soil,993,Rice,Kharif,29691,142516,4.8,2020
Prakasam,Red Soil,696,Maize,Rabi,68702,290609,4.23,2020
Prakasam,Red Soil,1123,Groundnut,Kharif,131454,201124,1.53,2020
Prakasam,Red Soil,1197,Cotton,Kharif,134426,243311,1.81,2020
Prakasam,Red Soil,625,Millets,Kharif,60508,73819,1.22,2020
Prakasam,Red Soil,925,Pulses,Rabi,101363,135826,1.34,2020
Prakasam,Red Soil,899,Tomato,Rabi,60891,1885185,30.96,2020
Prakasam,Red Soil,954,Chilli,Rabi,17188,66173,3.85,2020
Prakasam,Red Soil,882,Sugarcane,Annual,22678,2001787,88.27,2020
Kadapa,Red Soil,950,Rice,Kharif,75935,325761,4.29,2020
Kadapa,Red Soil,576,Maize,Rabi,25080,97310,3.88,2020
Kadapa,Red Soil,928,Groundnut,Kharif,27309,57621,2.11,2020
Kadapa,Red Soil,853,Cotton,Kharif,30304,77275,2.55,2020
Kadapa,Red Soil,911,Millets,Kharif,33161,55378,1.67,2020
Kadapa,Red Soil,1184,Pulses,Rabi,20969,32082,1.53,2020
Kadapa,Red Soil,541,Tomato,Rabi,58203,2023718,34.77,2020
Kadapa,Red Soil,979,Chilli,Rabi,29180,91041,3.12,2020
Kadapa,Red Soil,754,Sugarcane,Annual,102398,8714069,85.1,2020
Nellore,Sandy Soil,653,Rice,Kharif,71875,367281,5.11,2020
Nellore,Sandy Soil,724,Maize,Rabi,10649,52393,4.92,2020
Nellore,Sandy Soil,1079,Groundnut,Kharif,144033,302469,2.1,2020
Nellore,Sandy Soil,1076,Cotton,Kharif,108179,268283,2.48,2020
Nellore,Sandy Soil,725,Millets,Kharif,9679,16744,1.73,2020
Nellore,Sandy Soil,744,Pulses,Rabi,102274,113524,1.11,2020
Nellore,Sandy Soil,529,Tomato,Rabi,139126,3653448,26.26,2020
Nellore,Sandy Soil,511,Chilli,Rabi,74764,223544,2.99,2020
Nellore,Sandy Soil,746,Sugarcane,Annual,59046,5044299,85.43,2020
Visakhapatnam,Laterite Soil,1022,Rice,Kharif,86036,361351,4.2,2020
Visakhapatnam,Laterite Soil,995,Maize,Rabi,53850,267096,4.96,2020
Visakhapatnam,Laterite Soil,1003,Groundnut,Kharif,121335,263296,2.17,2020
Visakhapatnam,Laterite Soil,927,Cotton,Kharif,82069,166600,2.03,2020
Visakhapatnam,Laterite Soil,929,Millets,Kharif,21225,37568,1.77,2020
Visakhapatnam,Laterite Soil,675,Pulses,Rabi,9271,12886,1.39,2020
Visakhapatnam,Laterite Soil,983,Tomato,Rabi,71244,1941399,27.25,2020
Visakhapatnam,Laterite Soil,677,Chilli,Rabi,84142,244853,2.91,2020
Visakhapatnam,Laterite Soil,513,Sugarcane,Annual,136170,11238110,82.53,2020
Vizianagaram,Red Loam,866,Rice,Kharif,40555,177630,4.38,2020
Vizianagaram,Red Loam,957,Maize,Rabi,124319,543274,4.37,2020
Vizianagaram,Red Loam,752,Groundnut,Kharif,100660,160049,1.59,2020
Vizianagaram,Red Loam,1184,Cotton,Kharif,97032,237728,2.45,2020
Vizianagaram,Red Loam,1001,Millets,Kharif,63179,106772,1.69,2020
Vizianagaram,Red Loam,530,Pulses,Rabi,83529,132811,1.59,2020
Vizianagaram,Red Loam,547,Tomato,Rabi,17056,422988,24.8,2020
Vizianagaram,Red Loam,1081,Chilli,Rabi,110086,324753,2.95,2020
Vizianagaram,Red Loam,776,Sugarcane,Annual,124992,10544325,84.36,2020
Srikakulam,Red Loam,779,Rice,Kharif,26731,125903,4.71,2020
Srikakulam,Red Loam,554,Maize,Rabi,138252,615221,4.45,2020
Srikakulam,Red Loam,875,Groundnut,Kharif,53767,83338,1.55,2020
Srikakulam,Red Loam,756,Cotton,Kharif,114466,272429,2.38,2020
Srikakulam,Red Loam,586,Millets,Kharif,133123,206340,1.55,2020
Srikakulam,Red Loam,954,Pulses,Rabi,80998,103677,1.28,2020
Srikakulam,Red Loam,792,Tomato,Rabi,38379,1302967,33.95,2020
Srikakulam,Red Loam,598,Chilli,Rabi,61319,212776,3.47,2020
Srikakulam,Red Loam,712,Sugarcane,Annual,144154,11783147,81.74,2020
Kurnool,Black Soil,589,Rice,Kharif,63798,287728,4.51,2020
Kurnool,Black Soil,751,Maize,Rabi,67490,269285,3.99,2020
Kurnool,Black Soil,744,Groundnut,Kharif,126011,223039,1.77,2020
Kurnool,Black Soil,562,Cotton,Kharif,98612,258363,2.62,2020
Kurnool,Black Soil,1015,Millets,Kharif,53400,73158,1.37,2020
Kurnool,Black Soil,1086,Pulses,Rabi,137378,189581,1.38,2020
Kurnool,Black Soil,512,Tomato,Rabi,103928,3142782,30.24,2020
Kurnool,Black Soil,670,Chilli,Rabi,14647,53461,3.65,2020
Kurnool,Black Soil,619,Sugarcane,Annual,68092,5455531,80.12,2020
Eluru,Clay Loam,551,Rice,Kharif,70191,305330,4.35,2020
Eluru,Clay Loam,825,Maize,Rabi,92455,366121,3.96,2020
Eluru,Clay Loam,547,Groundnut,Kharif,52066,84346,1.62,2020
Eluru,Clay Loam,579,Cotton,Kharif,56309,154286,2.74,2020
Eluru,Clay Loam,965,Millets,Kharif,37542,64196,1.71,2020
Eluru,Clay Loam,1185,Pulses,Rabi,100430,151649,1.51,2020
Eluru,Clay Loam,1152,Tomato,Rabi,89015,1969011,22.12,2020
Eluru,Clay Loam,1106,Chilli,Rabi,16924,65665,3.88,2020
Eluru,Clay Loam,509,Sugarcane,Annual,99877,9414406,94.26,2020
Bapatla,Sandy Loam,500,Rice,Kharif,8261,39074,4.73,2020
Bapatla,Sandy Loam,684,Maize,Rabi,74254,369784,4.98,2020
Bapatla,Sandy Loam,574,Groundnut,Kharif,88420,132630,1.5,2020
Bapatla,Sandy Loam,594,Cotton,Kharif,28686,57945,2.02,2020
Bapatla,Sandy Loam,1090,Millets,Kharif,86294,134618,1.56,2020
Bapatla,Sandy Loam,1140,Pulses,Rabi,49051,57389,1.17,2020
Bapatla,Sandy Loam,1096,Tomato,Rabi,93615,2137230,22.83,2020
Bapatla,Sandy Loam,598,Chilli,Rabi,49380,174805,3.54,2020
Bapatla,Sandy Loam,834,Sugarcane,Annual,122816,9248044,75.3,2020
Anantapur,Red Soil,1168,Rice,Kharif,41480,189978,4.58,2021
Anantapur,Red Soil,1168,Maize,Rabi,61677,274462,4.45,2021
Anantapur,Red Soil,620,Groundnut,Kharif,13697,27394,2.0,2021
Anantapur,Red Soil,754,Cotton,Kharif,97657,190431,1.95,2021
Anantapur,Red Soil,878,Millets,Kharif,20326,31302,1.54,2021
Anantapur,Red Soil,610,Pulses,Rabi,144474,184926,1.28,2021
Anantapur,Red Soil,905,Tomato,Rabi,126386,3883841,30.73,2021
Anantapur,Red Soil,556,Chilli,Rabi,94987,296359,3.12,2021
Anantapur,Red Soil,733,Sugarcane,Annual,78880,5549996,70.36,2021
Chittoor,Red Soil,570,Rice,Kharif,40523,205856,5.08,2021
Chittoor,Red Soil,514,Maize,Rabi,132934,614155,4.62,2021
Chittoor,Red Soil,972,Groundnut,Kharif,90182,137076,1.52,2021
Chittoor,Red Soil,656,Cotton,Kharif,70353,147037,2.09,2021
Chittoor,Red Soil,655,Millets,Kharif,85546,132596,1.55,2021
Chittoor,Red Soil,1047,Pulses,Rabi,132990,138309,1.04,2021
Chittoor,Red Soil,678,Tomato,Rabi,10344,211121,20.41,2021
Chittoor,Red Soil,991,Chilli,Rabi,144203,507594,3.52,2021
Chittoor,Red Soil,696,Sugarcane,Annual,141754,11684782,82.43,2021
Guntur,Clay Loam,789,Rice,Kharif,147012,698307,4.75,2021
Guntur,Clay Loam,865,Maize,Rabi,74650,359066,4.81,2021
Guntur,Clay Loam,999,Groundnut,Kharif,61285,101733,1.66,2021
Guntur,Clay Loam,714,Cotton,Kharif,77846,210184,2.7,2021
Guntur,Clay Loam,660,Millets,Kharif,61230,80823,1.32,2021
Guntur,Clay Loam,1109,Pulses,Rabi,111503,146068,1.31,2021
Guntur,Clay Loam,815,Tomato,Rabi,55948,1629765,29.13,2021
Guntur,Clay Loam,961,Chilli,Rabi,78080,292800,3.75,2021
Guntur,Clay Loam,814,Sugarcane,Annual,77424,6060750,78.28,2021
Krishna,Clay Loam,683,Rice,Kharif,149613,632862,4.23,2021
Krishna,Clay Loam,611,Maize,Rabi,101340,457043,4.51,2021
Krishna,Clay Loam,708,Groundnut,Kharif,60111,117216,1.95,2021
Krishna,Clay Loam,613,Cotton,Kharif,53622,143170,2.67,2021
Krishna,Clay Loam,550,Millets,Kharif,9346,15607,1.67,2021
Krishna,Clay Loam,1135,Pulses,Rabi,127945,189358,1.48,2021
Krishna,Clay Loam,1054,Tomato,Rabi,50812,1753522,34.51,2021
Krishna,Clay Loam,1030,Chilli,Rabi,112103,433838,3.87,2021
Krishna,Clay Loam,871,Sugarcane,Annual,117476,10307344,87.74,2021
East Godavari,Clay Soil,603,Rice,Kharif,110997,567194,5.11,2021
East Godavari,Clay Soil,712,Maize,Rabi,15247,59158,3.88,2021
East Godavari,Clay Soil,1109,Groundnut,Kharif,148946,250229,1.68,2021
East Godavari,Clay Soil,599,Cotton,Kharif,30975,55755,1.8,2021
East Godavari,Clay Soil,541,Millets,Kharif,140539,174268,1.24,2021
East Godavari,Clay Soil,715,Pulses,Rabi,71957,87067,1.21,2021
East Godavari,Clay Soil,1175,Tomato,Rabi,133936,3440815,25.69,2021
East Godavari,Clay Soil,785,Chilli,Rabi,73726,252880,3.43,2021
East Godavari,Clay Soil,697,Sugarcane,Annual,134590,11383622,84.58,2021
West Godavari,Clay Soil,1158,Rice,Kharif,94856,445823,4.7,2021
West Godavari,Clay Soil,805,Maize,Rabi,107939,476010,4.41,2021
West Godavari,Clay Soil,1108,Groundnut,Kharif,37797,66900,1.77,2021
West Godavari,Clay Soil,716,Cotton,Kharif,107058,293338,2.74,2021
West Godavari,Clay Soil,560,Millets,Kharif,93007,119048,1.28,2021
West Godavari,Clay Soil,997,Pulses,Rabi,78575,90361,1.15,2021
West Godavari,Clay Soil,1159,Tomato,Rabi,19854,610510,30.75,2021
West Godavari,Clay Soil,750,Chilli,Rabi,36028,125737,3.49,2021
West Godavari,Clay Soil,991,Sugarcane,Annual,69056,6315171,91.45,2021
Prakasam,Red Soil,797,Rice,Kharif,80563,414899,5.15,2021
Prakasam,Red Soil,904,Maize,Rabi,135819,623409,4.59,2021
Prakasam,Red Soil,680,Groundnut,Kharif,38832,64072,1.65,2021
Prakasam,Red Soil,1046,Cotton,Kharif,87078,170672,1.96,2021
Prakasam,Red Soil,929,Millets,Kharif,18651,25365,1.36,2021
Prakasam,Red Soil,1151,Pulses,Rabi,129797,203781,1.57,2021
Prakasam,Red Soil,646,Tomato,Rabi,20067,488832,24.36,2021
Prakasam,Red Soil,1065,Chilli,Rabi,22005,66895,3.04,2021
Prakasam,Red Soil,787,Sugarcane,Annual,134319,11305630,84.17,2021
Kadapa,Red Soil,1165,Rice,Kharif,124091,569577,4.59,2021
Kadapa,Red Soil,972,Maize,Rabi,7053,32655,4.63,2021
Kadapa,Red Soil,528,Groundnut,Kharif,118483,212084,1.79,2021
Kadapa,Red Soil,736,Cotton,Kharif,140232,293084,2.09,2021
Kadapa,Red Soil,609,Millets,Kharif,59026,86768,1.47,2021
Kadapa,Red Soil,713,Pulses,Rabi,23608,25024,1.06,2021
Kadapa,Red Soil,856,Tomato,Rabi,144823,4088353,28.23,2021
Kadapa,Red Soil,797,Chilli,Rabi,128485,330206,2.57,2021
Kadapa,Red Soil,1102,Sugarcane,Annual,35571,2639368,74.2,2021
Nellore,Sandy Soil,948,Rice,Kharif,127530,618520,4.85,2021
Nellore,Sandy Soil,628,Maize,Rabi,12079,57979,4.8,2021
Nellore,Sandy Soil,1137,Groundnut,Kharif,12250,26215,2.14,2021
Nellore,Sandy Soil,1179,Cotton,Kharif,125810,244071,1.94,2021
Nellore,Sandy Soil,777,Millets,Kharif,101012,181821,1.8,2021
Nellore,Sandy Soil,634,Pulses,Rabi,137903,188927,1.37,2021
Nellore,Sandy Soil,790,Tomato,Rabi,20018,431387,21.55,2021
Nellore,Sandy Soil,781,Chilli,Rabi,149154,407190,2.73,2021
Nellore,Sandy Soil,998,Sugarcane,Annual,28811,2655797,92.18,2021
Visakhapatnam,Laterite Soil,1128,Rice,Kharif,17912,82036,4.58,2021
Visakhapatnam,Laterite Soil,1037,Maize,Rabi,30418,128363,4.22,2021
Visakhapatnam,Laterite Soil,522,Groundnut,Kharif,89093,147003,1.65,2021
Visakhapatnam,Laterite Soil,852,Cotton,Kharif,80016,198439,2.48,2021
Visakhapatnam,Laterite Soil,915,Millets,Kharif,61722,106779,1.73,2021
Visakhapatnam,Laterite Soil,935,Pulses,Rabi,132598,190941,1.44,2021
Visakhapatnam,Laterite Soil,571,Tomato,Rabi,69360,1843588,26.58,2021
Visakhapatnam,Laterite Soil,909,Chilli,Rabi,128674,456792,3.55,2021
Visakhapatnam,Laterite Soil,583,Sugarcane,Annual,128541,12093137,94.08,2021
Vizianagaram,Red Loam,856,Rice,Kharif,88149,371988,4.22,2021
Vizianagaram,Red Loam,763,Maize,Rabi,45489,207884,4.57,2021
Vizianagaram,Red Loam,950,Groundnut,Kharif,123572,177943,1.44,2021
Vizianagaram,Red Loam,806,Cotton,Kharif,9960,21314,2.14,2021
Vizianagaram,Red Loam,623,Millets,Kharif,31797,47059,1.48,2021
Vizianagaram,Red Loam,602,Pulses,Rabi,102157,162429,1.59,2021
Vizianagaram,Red Loam,758,Tomato,Rabi,127793,3389070,26.52,2021
Vizianagaram,Red Loam,1000,Chilli,Rabi,21755,78100,3.59,2021
Vizianagaram,Red Loam,1069,Sugarcane,Annual,123040,10674950,86.76,2021
Srikakulam,Red Loam,1190,Rice,Kharif,19134,94713,4.95,2021
Srikakulam,Red Loam,1125,Maize,Rabi,51909,259545,5.0,2021
Srikakulam,Red Loam,920,Groundnut,Kharif,136722,243365,1.78,2021
Srikakulam,Red Loam,763,Cotton,Kharif,65431,138059,2.11,2021
Srikakulam,Red Loam,948,Millets,Kharif,24165,37455,1.55,2021
Srikakulam,Red Loam,504,Pulses,Rabi,55178,56833,1.03,2021
Srikakulam,Red Loam,1099,Tomato,Rabi,54122,1530028,28.27,2021
Srikakulam,Red Loam,523,Chilli,Rabi,62526,216965,3.47,2021
Srikakulam,Red Loam,1173,Sugarcane,Annual,55574,4005773,72.08,2021
Kurnool,Black Soil,887,Rice,Kharif,118043,551260,4.67,2021
Kurnool,Black Soil,1190,Maize,Rabi,75965,359314,4.73,2021
Kurnool,Black Soil,629,Groundnut,Kharif,8537,18354,2.15,2021
Kurnool,Black Soil,645,Cotton,Kharif,94097,200426,2.13,2021
Kurnool,Black Soil,836,Millets,Kharif,139484,225964,1.62,2021
Kurnool,Black Soil,1140,Pulses,Rabi,5934,6883,1.16,2021
Kurnool,Black Soil,1028,Tomato,Rabi,127596,3314944,25.98,2021
Kurnool,Black Soil,626,Chilli,Rabi,49361,156967,3.18,2021
Kurnool,Black Soil,1031,Sugarcane,Annual,37862,3026309,79.93,2021
Eluru,Clay Loam,875,Rice,Kharif,119503,532983,4.46,2021
Eluru,Clay Loam,819,Maize,Rabi,17090,78955,4.62,2021
Eluru,Clay Loam,1181,Groundnut,Kharif,35634,74118,2.08,2021
Eluru,Clay Loam,650,Cotton,Kharif,131989,250779,1.9,2021
Eluru,Clay Loam,503,Millets,Kharif,45174,60081,1.33,2021
Eluru,Clay Loam,734,Pulses,Rabi,130536,169696,1.3,2021
Eluru,Clay Loam,704,Tomato,Rabi,87283,2621981,30.04,2021
Eluru,Clay Loam,728,Chilli,Rabi,47948,157748,3.29,2021
Eluru,Clay Loam,1026,Sugarcane,Annual,61665,5600415,90.82,2021
Bapatla,Sandy Loam,688,Rice,Kharif,82877,397809,4.8,2021
Bapatla,Sandy Loam,1090,Maize,Rabi,127635,557764,4.37,2021
Bapatla,Sandy Loam,989,Groundnut,Kharif,59119,103458,1.75,2021
Bapatla,Sandy Loam,887,Cotton,Kharif,95957,203428,2.12,2021
Bapatla,Sandy Loam,1050,Millets,Kharif,117346,198314,1.69,2021
Bapatla,Sandy Loam,838,Pulses,Rabi,147054,180876,1.23,2021
Bapatla,Sandy Loam,1009,Tomato,Rabi,126201,2980867,23.62,2021
Bapatla,Sandy Loam,1126,Chilli,Rabi,147803,421238,2.85,2021
Bapatla,Sandy Loam,1078,Sugarcane,Annual,27743,2250512,81.12,2021
Anantapur,Red Soil,610,Rice,Kharif,59823,256640,4.29,2022
Anantapur,Red Soil,791,Maize,Rabi,136987,678085,4.95,2022
Anantapur,Red Soil,1119,Groundnut,Kharif,128197,273059,2.13,2022
Anantapur,Red Soil,962,Cotton,Kharif,5258,11094,2.11,2022
Anantapur,Red Soil,767,Millets,Kharif,91742,126603,1.38,2022
Anantapur,Red Soil,622,Pulses,Rabi,116248,160422,1.38,2022
Anantapur,Red Soil,1186,Tomato,Rabi,144489,4713231,32.62,2022
Anantapur,Red Soil,818,Chilli,Rabi,110462,342432,3.1,2022
Anantapur,Red Soil,863,Sugarcane,Annual,104113,9779334,93.93,2022
Chittoor,Red Soil,1014,Rice,Kharif,27332,123813,4.53,2022
Chittoor,Red Soil,1125,Maize,Rabi,132940,658053,4.95,2022
Chittoor,Red Soil,586,Groundnut,Kharif,124017,204628,1.65,2022
Chittoor,Red Soil,654,Cotton,Kharif,71559,180328,2.52,2022
Chittoor,Red Soil,1104,Millets,Kharif,35165,53450,1.52,2022
Chittoor,Red Soil,689,Pulses,Rabi,87510,105012,1.2,2022
Chittoor,Red Soil,642,Tomato,Rabi,27758,650369,23.43,2022
Chittoor,Red Soil,690,Chilli,Rabi,41421,161541,3.9,2022
Chittoor,Red Soil,627,Sugarcane,Annual,75640,6703973,88.63,2022
Guntur,Clay Loam,1066,Rice,Kharif,130527,640887,4.91,2022
Guntur,Clay Loam,663,Maize,Rabi,51065,233367,4.57,2022
Guntur,Clay Loam,762,Groundnut,Kharif,117149,171037,1.46,2022
Guntur,Clay Loam,981,Cotton,Kharif,29604,82299,2.78,2022
Guntur,Clay Loam,1159,Millets,Kharif,17950,23514,1.31,2022
Guntur,Clay Loam,756,Pulses,Rabi,112418,175372,1.56,2022
Guntur,Clay Loam,689,Tomato,Rabi,11885,392442,33.02,2022
Guntur,Clay Loam,555,Chilli,Rabi,122800,330332,2.69,2022
Guntur,Clay Loam,1069,Sugarcane,Annual,41371,3674158,88.81,2022
Krishna,Clay Loam,850,Rice,Kharif,126757,647728,5.11,2022
Krishna,Clay Loam,1151,Maize,Rabi,63999,278395,4.35,2022
Krishna,Clay Loam,1076,Groundnut,Kharif,138299,282129,2.04,2022
Krishna,Clay Loam,1060,Cotton,Kharif,129948,309276,2.38,2022
Krishna,Clay Loam,990,Millets,Kharif,127125,218655,1.72,2022
Krishna,Clay Loam,773,Pulses,Rabi,22896,25414,1.11,2022
Krishna,Clay Loam,558,Tomato,Rabi,13110,357116,27.24,2022
Krishna,Clay Loam,1096,Chilli,Rabi,127640,409724,3.21,2022
Krishna,Clay Loam,875,Sugarcane,Annual,102279,8901341,87.03,2022
East Godavari,Clay Soil,690,Rice,Kharif,68466,334798,4.89,2022
East Godavari,Clay Soil,547,Maize,Rabi,85524,407949,4.77,2022
East Godavari,Clay Soil,618,Groundnut,Kharif,134584,282626,2.1,2022
East Godavari,Clay Soil,572,Cotton,Kharif,118652,321546,2.71,2022
East Godavari,Clay Soil,725,Millets,Kharif,79620,136946,1.72,2022
East Godavari,Clay Soil,985,Pulses,Rabi,146295,157998,1.08,2022
East Godavari,Clay Soil,1107,Tomato,Rabi,101694,3154547,31.02,2022
East Godavari,Clay Soil,1062,Chilli,Rabi,61490,158644,2.58,2022
East Godavari,Clay Soil,927,Sugarcane,Annual,140382,10385460,73.98,2022
West Godavari,Clay Soil,768,Rice,Kharif,22448,94057,4.19,2022
West Godavari,Clay Soil,547,Maize,Rabi,135336,531870,3.93,2022
West Godavari,Clay Soil,1099,Groundnut,Kharif,26241,56155,2.14,2022
West Godavari,Clay Soil,1109,Cotton,Kharif,71400,158508,2.22,2022
West Godavari,Clay Soil,533,Millets,Kharif,126304,203349,1.61,2022
West Godavari,Clay Soil,1003,Pulses,Rabi,6696,7030,1.05,2022
West Godavari,Clay Soil,959,Tomato,Rabi,123707,4141710,33.48,2022
West Godavari,Clay Soil,1055,Chilli,Rabi,27231,96397,3.54,2022
West Godavari,Clay Soil,739,Sugarcane,Annual,98490,8119515,82.44,2022
Prakasam,Red Soil,996,Rice,Kharif,103969,500090,4.81,2022
Prakasam,Red Soil,1047,Maize,Rabi,137405,590841,4.3,2022
Prakasam,Red Soil,1074,Groundnut,Kharif,77696,114213,1.47,2022
Prakasam,Red Soil,1050,Cotton,Kharif,11164,28579,2.56,2022
Prakasam,Red Soil,958,Millets,Kharif,82214,99478,1.21,2022
Prakasam,Red Soil,754,Pulses,Rabi,135662,158724,1.17,2022
Prakasam,Red Soil,1016,Tomato,Rabi,136409,2889142,21.18,2022
Prakasam,Red Soil,714,Chilli,Rabi,105919,364361,3.44,2022
Prakasam,Red Soil,909,Sugarcane,Annual,112839,9290034,82.33,2022
Kadapa,Red Soil,534,Rice,Kharif,144543,673570,4.66,2022
Kadapa,Red Soil,880,Maize,Rabi,135051,552358,4.09,2022
Kadapa,Red Soil,1033,Groundnut,Kharif,76664,164060,2.14,2022
Kadapa,Red Soil,1170,Cotton,Kharif,65472,166298,2.54,2022
Kadapa,Red Soil,987,Millets,Kharif,42667,73813,1.73,2022
Kadapa,Red Soil,541,Pulses,Rabi,65622,93839,1.43,2022
Kadapa,Red Soil,532,Tomato,Rabi,28601,962995,33.67,2022
Kadapa,Red Soil,985,Chilli,Rabi,73679,235772,3.2,2022
Kadapa,Red Soil,737,Sugarcane,Annual,104522,7441966,71.2,2022
Nellore,Sandy Soil,589,Rice,Kharif,128505,524300,4.08,2022
Nellore,Sandy Soil,944,Maize,Rabi,105684,440702,4.17,2022
Nellore,Sandy Soil,1122,Groundnut,Kharif,98160,186504,1.9,2022
Nellore,Sandy Soil,943,Cotton,Kharif,89069,218219,2.45,2022
Nellore,Sandy Soil,833,Millets,Kharif,97764,169131,1.73,2022
Nellore,Sandy Soil,689,Pulses,Rabi,21688,27977,1.29,2022
Nellore,Sandy Soil,760,Tomato,Rabi,43854,1068721,24.37,2022
Nellore,Sandy Soil,555,Chilli,Rabi,140256,500713,3.57,2022
Nellore,Sandy Soil,970,Sugarcane,Annual,67837,5382865,79.35,2022
Visakhapatnam,Laterite Soil,922,Rice,Kharif,13985,68666,4.91,2022
Visakhapatnam,Laterite Soil,837,Maize,Rabi,135260,515340,3.81,2022
Visakhapatnam,Laterite Soil,1046,Groundnut,Kharif,142705,264004,1.85,2022
Visakhapatnam,Laterite Soil,502,Cotton,Kharif,7272,16289,2.24,2022
Visakhapatnam,Laterite Soil,1186,Millets,Kharif,54877,76279,1.39,2022
Visakhapatnam,Laterite Soil,621,Pulses,Rabi,69435,95820,1.38,2022
Visakhapatnam,Laterite Soil,782,Tomato,Rabi,37819,1175792,31.09,2022
Visakhapatnam,Laterite Soil,850,Chilli,Rabi,8698,33052,3.8,2022
Visakhapatnam,Laterite Soil,957,Sugarcane,Annual,123796,10073280,81.37,2022
Vizianagaram,Red Loam,526,Rice,Kharif,66094,334435,5.06,2022
Vizianagaram,Red Loam,910,Maize,Rabi,27874,120973,4.34,2022
Vizianagaram,Red Loam,1170,Groundnut,Kharif,20019,38436,1.92,2022
Vizianagaram,Red Loam,906,Cotton,Kharif,14935,33603,2.25,2022
Vizianagaram,Red Loam,531,Millets,Kharif,132096,180971,1.37,2022
Vizianagaram,Red Loam,699,Pulses,Rabi,11029,15220,1.38,2022
Vizianagaram,Red Loam,1076,Tomato,Rabi,70021,1524357,21.77,2022
Vizianagaram,Red Loam,594,Chilli,Rabi,141684,430719,3.04,2022
Vizianagaram,Red Loam,980,Sugarcane,Annual,47153,3605789,76.47,2022
Srikakulam,Red Loam,1103,Rice,Kharif,16737,73308,4.38,2022
Srikakulam,Red Loam,829,Maize,Rabi,89603,394253,4.4,2022
Srikakulam,Red Loam,1141,Groundnut,Kharif,109872,239520,2.18,2022
Srikakulam,Red Loam,661,Cotton,Kharif,34210,72525,2.12,2022
Srikakulam,Red Loam,833,Millets,Kharif,115865,176114,1.52,2022
Srikakulam,Red Loam,1176,Pulses,Rabi,84028,131923,1.57,2022
Srikakulam,Red Loam,966,Tomato,Rabi,124480,2502048,20.1,2022
Srikakulam,Red Loam,1097,Chilli,Rabi,76086,278474,3.66,2022
Srikakulam,Red Loam,716,Sugarcane,Annual,29013,2072108,71.42,2022
Kurnool,Black Soil,860,Rice,Kharif,149611,677737,4.53,2022
Kurnool,Black Soil,697,Maize,Rabi,118375,486521,4.11,2022
Kurnool,Black Soil,933,Groundnut,Kharif,81540,120679,1.48,2022
Kurnool,Black Soil,962,Cotton,Kharif,104041,224728,2.16,2022
Kurnool,Black Soil,626,Millets,Kharif,6172,8640,1.4,2022
Kurnool,Black Soil,708,Pulses,Rabi,102970,113267,1.1,2022
Kurnool,Black Soil,555,Tomato,Rabi,20537,603377,29.38,2022
Kurnool,Black Soil,970,Chilli,Rabi,131201,429027,3.27,2022
Kurnool,Black Soil,569,Sugarcane,Annual,11233,831017,73.98,2022
Eluru,Clay Loam,1164,Rice,Kharif,139515,567826,4.07,2022
Eluru,Clay Loam,604,Maize,Rabi,31082,126503,4.07,2022
Eluru,Clay Loam,942,Groundnut,Kharif,60375,122561,2.03,2022
Eluru,Clay Loam,824,Cotton,Kharif,55393,120756,2.18,2022
Eluru,Clay Loam,981,Millets,Kharif,145609,222781,1.53,2022
Eluru,Clay Loam,953,Pulses,Rabi,20713,25684,1.24,2022
Eluru,Clay Loam,854,Tomato,Rabi,102070,2053648,20.12,2022
Eluru,Clay Loam,808,Chilli,Rabi,9685,28280,2.92,2022
Eluru,Clay Loam,1077,Sugarcane,Annual,57791,4344149,75.17,2022
Bapatla,Sandy Loam,615,Rice,Kharif,40281,166763,4.14,2022
Bapatla,Sandy Loam,550,Maize,Rabi,40098,160792,4.01,2022
Bapatla,Sandy Loam,1005,Groundnut,Kharif,5535,10350,1.87,2022
Bapatla,Sandy Loam,1030,Cotton,Kharif,50504,125249,2.48,2022
Bapatla,Sandy Loam,745,Millets,Kharif,25927,41223,1.59,2022
Bapatla,Sandy Loam,1025,Pulses,Rabi,119600,159068,1.33,2022
Bapatla,Sandy Loam,1107,Tomato,Rabi,85465,2814362,32.93,2022
Bapatla,Sandy Loam,1059,Chilli,Rabi,55786,167915,3.01,2022
Bapatla,Sandy Loam,971,Sugarcane,Annual,36845,3416636,92.73,2022
Anantapur,Red Soil,1035,Rice,Kharif,143438,583792,4.07,2023
Anantapur,Red Soil,1037,Maize,Rabi,20033,77728,3.88,2023
Anantapur,Red Soil,1029,Groundnut,Kharif,74377,139828,1.88,2023
Anantapur,Red Soil,601,Cotton,Kharif,147534,320148,2.17,2023
Anantapur,Red Soil,1031,Millets,Kharif,40478,49787,1.23,2023
Anantapur,Red Soil,989,Pulses,Rabi,78004,97505,1.25,2023
Anantapur,Red Soil,557,Tomato,Rabi,145458,3873546,26.63,2023
Anantapur,Red Soil,888,Chilli,Rabi,93328,265984,2.85,2023
Anantapur,Red Soil,1108,Sugarcane,Annual,60165,4831249,80.3,2023
Chittoor,Red Soil,1087,Rice,Kharif,148969,674829,4.53,2023
Chittoor,Red Soil,877,Maize,Rabi,139168,620689,4.46,2023
Chittoor,Red Soil,646,Groundnut,Kharif,76145,141629,1.86,2023
